Account;Tweet_Nr;Date_Time;Tweet;
nytimes;1272931961330330000;16.06.2020 16:40;b'\xe2\x80\x9cI know it\xe2\x80\x99s an A.I. I know it\xe2\x80\x99s not a person,\xe2\x80\x9d one user said. \xe2\x80\x9cBut as time goes on, the lines get a little blurred.\xe2\x80\x9d\nhttps://t.co/7tZnflp2eq';
nytimes;1272926948415720000;16.06.2020 16:20;b'Reports of new coronavirus cases continue to decrease across much of the Midwest and Northeast. States that were among the first to ease restrictions, including Texas and Arizona, are now seeing spikes.\n\nThe latest: https://t.co/rzGyVBmUGd https://t.co/ZzPkLCkhUM';
nytimes;1272921975682450000;16.06.2020 16:00;b'Conservative Christian groups say Monday\xe2\x80\x99s U.S. Supreme Court ruling protecting the rights of gay and transgender workers could lead to years of lawsuits against religious organizations, many of which refuse to employ LGBT people https://t.co/2w9DOcTemr';
nytimes;1272919378976260000;16.06.2020 15:50;b'\xe2\x80\x9cThe police are, in some respects, a border patrol, and they patrol the border between the 2 Americas.\xe2\x80\x9d Jon Stewart talks to David Marchese for @NYTmag. https://t.co/a5yEjWCDMk';
nytimes;1272916866563020000;16.06.2020 15:40;"b'""People are desperate for change. People are fighting for change. People are willing to put their lives on the line for change.""\n\nAndrea Jenkins, the first black, openly transgender woman to be elected to U.S. public office, talks about racial equity. https://t.co/prNL3XFQmA'";
nytimes;1272911833062570000;16.06.2020 15:20;b'European regulators are questioning whether Apple\xe2\x80\x99s terms go too far. Following complaints from rivals including Spotify, European authorities will investigate Apple\xe2\x80\x99s App Store. https://t.co/fKkJnhlsqA';
nytimes;1272906853333250000;16.06.2020 15:00;"b""Atlanta's mayor, Keisha Lance Bottoms, announced on Monday a series of changes aimed at overhauling how the Police Department uses force https://t.co/pKCHWnEH9e""";
nytimes;1272902866202740000;16.06.2020 14:44;b'A prosecutor who quit the Roger Stone case after Attorney General William Barr\xe2\x80\x99s intervention will testify in the House about Justice Department politicization\nhttps://t.co/Cd8DRdeCQa';
nytimes;1272901767030840000;16.06.2020 14:40;b'Cases of the coronavirus in prisons and jails across the United States have soared in recent weeks, even as the overall daily infection rate in the nation has remained relatively flat https://t.co/QhBH1XvN2y';
nytimes;1272896747036180000;16.06.2020 14:20;b'News Analysis: Social movements are almost always messy \xe2\x80\x94 and that\xe2\x80\x99s part of what can make them effective, historians say. The neatly packaged narratives exist only in retrospect, writes Maggie Astor. https://t.co/Gpji9PKb7s';
nytimes;1272891741260190000;16.06.2020 14:00;b'Hungary is moving to drop a coronavirus state of emergency, but critics say the move is a political sleight of hand to cement sweeping powers claimed by Prime Minister Viktor Orban https://t.co/gxk6l85rA1';
nytimes;1272889391187400000;16.06.2020 13:50;b'Breaking News: Oxford scientists said they identified the first drug proven to reduce coronavirus-related deaths when given to severely ill patients receiving oxygen https://t.co/e10aR3cH1y';
nytimes;1272886668358550000;16.06.2020 13:40;b'Prime Minister Boris Johnson of Britain agreed with European leaders on Monday to push ahead with intensified talks in July and August to try to reach a trade deal by the end of the year https://t.co/cyaq1nylhJ';
nytimes;1272881633667010000;16.06.2020 13:20;"b'In Opinion\n\n""Last week, the author J.K. Rowling felt it necessary to unveil a screed against trans folks that ran to nearly 4,000 words, and read like a greatest-hits list of false statements and groundless fears,"" writes Jennifer Finney Boylan. https://t.co/tMOCA2LvYY'";
nytimes;1272879131311700000;16.06.2020 13:10;"b""Why a surprise majority of judges ruled that the Civil Rights Act protects gay and transgender people from workplace discrimination. Listen to today's episode of The Daily. https://t.co/TwvYqXD5iI""";
nytimes;1272877891131490000;16.06.2020 13:05;b'Retail sales in the U.S. rebounded in May, rising 17.7% after a record drop in April, as stores and restaurants started to reopen https://t.co/iFsiNC8BrA';
nytimes;1272875171624480000;16.06.2020 12:54;b'Representative Ilhan Omar, a Democratic congresswoman from Minnesota, said that her father had died from complications of Covid-19.\n\n\xe2\x80\x9cNo words can describe what he meant to me and all who knew and loved him,\xe2\x80\x9d she said. https://t.co/KMCvJfWAKr';
nytimes;1272871563193450000;16.06.2020 12:40;b'In the dozen years of Reconstruction, which began after the end of the Civil War, more than 2,000 black people were lynched by mobs of white people https://t.co/Gum6VIrRaF';
nytimes;1272866543924320000;16.06.2020 12:20;b'\xe2\x80\x9cPeople who are most marginalized are going to be most impacted.\xe2\x80\x9d\n\nAs the coronavirus ravages the U.S., there are concerns that an already marginalized group, transgender people, will be further left behind, experts say. https://t.co/A12MUUMWCE';
nytimes;1272861523686440000;16.06.2020 12:00;b'Public health experts have warned that Africa could become the next epicenter of the Covid-19 pandemic. The WHO said last week that confirmed cases in Africa had doubled in 18 days to reach 200,000;
nytimes;1272856467436110000;16.06.2020 11:40;b'Europe\xe2\x80\x99s internal borders, closed 3 months ago in a frenzy of panicked uncertainty, are opening again, even as politicians and scientists warn that new waves of coronavirus infection might be on the way. https://t.co/IaZzeZrpBN';
nytimes;1272851428462250000;16.06.2020 11:20;"b""Here's a rundown of the highlights worth watching from late-night TV https://t.co/5tA9Kg9VY8""";
nytimes;1272846448368010000;16.06.2020 11:00;b'In 2 weeks, an idea from West Dakota, a drag queen in Brooklyn, blossomed into one of the most striking demonstrations that New York has seen since the killing of George Floyd. Thousands of people gathered in a sea of white. https://t.co/alG6RYBuzl';
nytimes;1272841359116960000;16.06.2020 10:40;b'\xe2\x80\x9cHorrible Histories\xe2\x80\x9d is, technically, the only West End show still standing after the coronavirus closed all of London\xe2\x80\x99s theaters in March. The show is still happening, just in a castle parking lot 200 miles away. https://t.co/pYZPZfUSne';
nytimes;1272836323137610000;16.06.2020 10:20;"b'In Opinion\n\n@michelleinbklyn writes, ""On Monday, Gorsuch delivered a blow to the religious right that a court full of Clinton appointees could never have managed. Even the darkest timeline has its consolations.""\nhttps://t.co/X8dyexlcHc'";
nytimes;1272831298478970000;16.06.2020 10:00;b'North Korea\xe2\x80\x99s military on Tuesday threatened to send back troops that it had withdrawn from areas near the South Korean border https://t.co/IQTDEpM0sB';
nytimes;1272826280795390000;16.06.2020 09:40;b'As the coronavirus spread across the U.S., the nation\xe2\x80\x99s blood supply faced a dire shortage. Here\xe2\x80\x99s what you need to know about donating in a time of crisis. https://t.co/cn8Q2Agxhd';
nytimes;1272823758470980000;16.06.2020 09:30;b'The British prime minister, in his first direct talks with Brussels about Brexit since his country left the E.U., agreed with European leaders to push ahead with intensified talks in July and August to try to reach a trade deal by the end of the year https://t.co/EJoj69dhei';
nytimes;1272821227636300000;16.06.2020 09:20;b'On June 15 and 16, a tentative welcome mat is being laid out for visitors in many European countries and a few Caribbean islands. In most places, Americans won\xe2\x80\x99t be on the invite list. https://t.co/zS4Lz6XRKk';
nytimes;1272816199055880000;16.06.2020 09:00;b'With travel restrictions in place worldwide, we\xe2\x80\x99ve launched a new series in which photojournalists help transport you, virtually, to some of our planet\xe2\x80\x99s most beautiful and intriguing places. This week, we take you to Gujarat, a state in western India. https://t.co/OO2Gxi9HTi';
nytimes;1272811175483510000;16.06.2020 08:40;b'3 Indian soldiers were killed in clashes with Chinese troops in a disputed border region, India said, the first deadly skirmish there in 45 years https://t.co/qPEt5d4n8z';
nytimes;1272806130570360000;16.06.2020 08:20;b'Dozens of statues associated with colonialism and slavery have been toppled in Britain, Belgium, New Zealand and the United States. Now officials must decide what to do with them. https://t.co/86YKzaB2lD';
nytimes;1272801113943780000;16.06.2020 08:00;b'Ireland\xe2\x80\x99s 2 main parties struck an agreement Monday to govern together for the first time, opening an unpredictable chapter in Irish politics as the country faces the economic fallout from the coronavirus pandemic https://t.co/dP52buzQuC';
nytimes;1272794092846610000;16.06.2020 07:32;b'Breaking News: North Korea blew up a liaison office shared with South Korea, dramatically signaling its displeasure after weeks of threats to end a d\xc3\xa9tente https://t.co/jKq2xYk1il';
nytimes;1272791041763150000;16.06.2020 07:20;b'\xe2\x80\x9cTo the world,\xe2\x80\x9d Sarah Hegazi wrote in a letter, \xe2\x80\x9cYou\xe2\x80\x99ve been greatly cruel, but I forgive.\xe2\x80\x9d Her final words have reverberated across Egypt amid an outpouring of grief over her suicide. https://t.co/VoE0nMRmrd';
nytimes;1272786031511760000;16.06.2020 07:00;"b""Europe morning briefing: Here's what you need to know to start your day https://t.co/4MNPT8hkXa""";
nytimes;1272780966260600000;16.06.2020 06:40;"b""China's more than 12,000 cinemas have remained stubbornly closed. Reopening them is politically difficult, as the order to keep them shut came from none other than Xi Jinping, China\xe2\x80\x99s top leader. https://t.co/etFU6V6dNX""";
nytimes;1272778473258600000;16.06.2020 06:30;b'After declaring the coronavirus pandemic eradicated last week, New Zealand authorities on Tuesday confirmed 2 new cases of Covid-19 in travelers who had returned from Britain, ending the country\xe2\x80\x99s 24-day streak without new infections https://t.co/2K0FbKE0Mm https://t.co/wjH8GTlARh';
nytimes;1272775942935540000;16.06.2020 06:20;b'A man was shot during a protest Monday night in Albuquerque. Police took into custody several members of a right-wing militia called the New Mexico Civil Guard who were carrying rifles. It was not clear whether any of them had fired the shot. https://t.co/ldhx1bcm8W';
nytimes;1272770913046590000;16.06.2020 06:00;b'The authorities in Beijing placed a swath of the city under lockdown on Monday and tested tens of thousands of people as they rushed to contain a new coronavirus outbreak that marked an unnerving breach in China\xe2\x80\x99s capital https://t.co/SQYLKdqxy6';
nytimes;1272760838538100000;16.06.2020 05:20;b'Vice President Mike Pence encouraged governors to adopt the administration\xe2\x80\x99s explanation that a rise in testing was a reason behind new coronavirus outbreaks, even though testing data has shown that such a claim is misleading https://t.co/dCXe2wG8Sk';
nytimes;1272750762544810000;16.06.2020 04:40;b'The man accused of a series of murders and rapes in California during the 1970s and \xe2\x80\x9980s \xe2\x80\x94 known as the \xe2\x80\x9cGolden State Killer\xe2\x80\x9d case \xe2\x80\x94 is expected to accept a plea deal that would allow him to avoid the death penalty, according to victims\xe2\x80\x99 families https://t.co/DZ4F9iIAK2';
nytimes;1272740733598950000;16.06.2020 04:00;b'Starting June 15 and 16, a tentative welcome mat is being laid out for visitors in many European countries and a few Caribbean islands https://t.co/ZcTt18VDGz';
nytimes;1272730631898880000;16.06.2020 03:20;b'Neil Jacobs, NOAA\xe2\x80\x99s acting administrator, \xe2\x80\x9cengaged in the misconduct intentionally, knowingly, or in reckless disregard\xe2\x80\x9d for the agency\xe2\x80\x99s scientific integrity policy, according to a panel that investigated complaints against him https://t.co/7x5F8qsr72';
nytimes;1272718048315740000;16.06.2020 02:30;b'House Democrats opened an investigation on Monday into the distribution of more than $500 billion in small-business loans under a pandemic relief program https://t.co/ztvMtPx0SY';
nytimes;1272701691272590000;16.06.2020 01:25;b'Breaking News: Vice President Mike Pence encouraged governors to repeat a misleading claim about coronavirus outbreaks https://t.co/vEU5iJeXuY';
nytimes;1272695433689770000;16.06.2020 01:00;b'Six eBay employees mounted a cyberstalking campaign against a couple who ran an online e-commerce newsletter, according to charges filed by federal prosecutors https://t.co/istRGsHri6';
nytimes;1272690366152660000;16.06.2020 00:40;b'According to a new modeling study, roughly 1.7 billion people around the world have at least one of the underlying health conditions that can worsen cases of the coronavirus https://t.co/wmaYfDFiyG';
nytimes;1272680301475630000;16.06.2020 00:00;b'\xe2\x80\x9cWe have 22 states where the virus is increasing,\xe2\x80\x9d New York Gov. Andrew Cuomo said at a news conference on Monday. \xe2\x80\x9cIt\xe2\x80\x99s a dramatic national turnaround. We don\xe2\x80\x99t want the same plight of these other states.\xe2\x80\x9d https://t.co/awaK8TJWhj';
nytimes;1272675283552820000;15.06.2020 23:40;"b""Evening Briefing: Here's what you need to know at the end of the day https://t.co/KZrWMabKlI""";
nytimes;1272665222776590000;15.06.2020 23:00;b'Justice Neil Gorsuch, by leading a 6-3 majority in ruling that LGBT workers are protected by the Civil Rights Act, has confounded some conservative supporters who have counted on him as a reliable successor to Justice Antonin Scalia https://t.co/rAM6gTgyyH';
nytimes;1272660643481620000;15.06.2020 22:41;"b""Correction: An earlier version of this story and a previous tweet misstated the number of justices appointed by President Trump who ruled in favor of gay and transgender rights on Monday. It was one, not two. We've deleted the earlier tweet. https://t.co/AHtwxCI4BG""";
nytimes;1272657437762500000;15.06.2020 22:29;b'News Analysis: LGBT rights leaders were stunned Monday when 2 conservative justices sided with the majority in one of the most sweeping gay rights decisions by the Supreme Court so far, write Adam Nagourney and Jeremy Peters https://t.co/l8xUm7XLKr';
nytimes;1272655137677480000;15.06.2020 22:20;b'A Chinese billionaire and home-appliance tycoon was the target of a kidnapping attempt on Sunday, which was foiled by the Chinese police https://t.co/hGTiaXVJZk';
nytimes;1272641146058120000;15.06.2020 21:24;b'In an emotional news conference, the family of Rayshard Brooks, who was shot and killed on Saturday by an Atlanta police officer, spoke out about loss and a need for systemic change https://t.co/KT6D4DAQD5 https://t.co/c1cVzyaJxP';
nytimes;1272635041529680000;15.06.2020 21:00;b'Chinese scientists report new progress in building what appears to be the first unbreakable information link between a satellite and 2 ground stations, raising the odds that Beijing may one day possess a super-secure global communications network https://t.co/lY57STUBjr';
nytimes;1272629961124380000;15.06.2020 20:40;b'The WNBA has reached a deal between the league and the players\xe2\x80\x99 union for a 22-game basketball season, beginning in late July, along with a full playoff schedule https://t.co/eVSA6iYwtc';
nytimes;1272627482047490000;15.06.2020 20:30;b'Breaking news: The NYPD will disband a plainclothes team with about 600 officers that has been involved in some of the city\xe2\x80\x99s most notorious police shootings https://t.co/NVVjTyZDCc';
nytimes;1272624940819320000;15.06.2020 20:20;b'The FDA said that after reviewing some data, it determined that the 2 malaria drugs, hydroxychloroquine and chloroquine, did not demonstrate potential benefits that outweighed their risks https://t.co/X7m1qnxcNu';
nytimes;1272619911060340000;15.06.2020 20:00;b'She survived the coronavirus. Then she got a $400,000 medical bill. https://t.co/dD52hfyGf6';
nytimes;1272614874443580000;15.06.2020 19:40;b'The authorities are investigating the vandalism of a sign that memorialized a black Missouri man, Levi Harrington, who was lynched in the 1880s, the police in Kansas City, Missouri, said on Monday https://t.co/D1iNTYnOaY';
nytimes;1272609843585650000;15.06.2020 19:20;b'BP signaled to investors on Monday that its oil and gas fields are not worth as much as they used to be, acknowledging a future where less gas and oil would probably be needed https://t.co/BswdMhqY8h';
nytimes;1272605136175710000;15.06.2020 19:01;b'\xe2\x80\x9cWhen does this stop?\xe2\x80\x9d The family of Rayshard Brooks held a news conference in response to his killing. Read more here: https://t.co/S5D4xlXLrL https://t.co/4h4yCsu3Mc';
nytimes;1272601043747180000;15.06.2020 18:45;b'Next year\xe2\x80\x99s Oscar awards will be delayed until April, and movies will be eligible even if they\xe2\x80\x99re released in February https://t.co/ZKyGzB0F21';
nytimes;1272599788392000000;15.06.2020 18:40;b'Joe Biden and the DNC\xc2\xa0had, by far, their biggest fund-raising month of the 2020 campaign in May, pulling in $80.8 million https://t.co/ali7A7Zgcp';
nytimes;1272594730124210000;15.06.2020 18:20;b'The individual choices you make during pregnancy matter, but evidence shows that public health policies are more important in helping pregnant women, particularly those with lower incomes https://t.co/yG6yDFWeBa';
nytimes;1272589747932840000;15.06.2020 18:00;b'A section of Beijing was locked down on Monday as the government rushed to contain a new outbreak of coronavirus infections \xe2\x80\x94 an unnerving breach in the capital, which President Xi Jinping of China had said should be a fortress against the pandemic https://t.co/kzKPZQoUiU https://t.co/aYjNZnQWVb';
nytimes;1272584664528620000;15.06.2020 17:40;b'The coronavirus isn\xe2\x80\x99t only a health crisis;
nytimes;1272579643065930000;15.06.2020 17:20;b'A court in the Philippines convicted Maria Ressa, a veteran journalist and outspoken critic of President Rodrigo Duterte, of cyber libel, in the latest blow to press freedoms in the country https://t.co/fFcjWUdhFj';
nytimes;1272574636539200000;15.06.2020 17:00;b'Bree Newsome Bass was arrested after climbing a flagpole at the South Carolina State Capitol. Now, she sees more people moved to act for similar reasons. https://t.co/3V5Jbo2XGb';
nytimes;1272569586131570000;15.06.2020 16:40;b'The U.S. Tennis Association is planning to hold the 2020 U.S. Open tournament as scheduled from August 31 to September 13, but without spectators. Announcement of the plan is pending government approval. https://t.co/dWmJzRBd8h';
nytimes;1272564552589340000;15.06.2020 16:20;b'Here are the major cases the U.S. Supreme Court has ruled on this term, as well as the ones it is still considering, and where public opinion stands on each case. https://t.co/tsDlawDxVk';
nytimes;1272558725388260000;15.06.2020 15:56;b'Breaking News: The FDA is revoking emergency authorization of 2 malaria drugs for Covid-19 promoted by President Trump, calling them \xe2\x80\x9cunlikely to be effective\xe2\x80\x9d https://t.co/DXoIXOJNnd https://t.co/qPjMgl34sy';
nytimes;1272554471093150000;15.06.2020 15:40;b'Frances Cha, the author of \xe2\x80\x9cIf I Had Your Face,\xe2\x80\x9d discusses her debut novel \xe2\x80\x94 a story of 4 women pursuing dreams and ambitions in fiercely competitive Seoul https://t.co/fVPX00fKsI';
nytimes;1272551953621530000;15.06.2020 15:30;b'The U.S. Supreme Court on Monday turned down an appeal from the Trump administration seeking to challenge a California \xe2\x80\x9csanctuary law\xe2\x80\x9d that limits cooperation with federal agents seeking to detain immigrants released from state custody\xc2\xa0https://t.co/513Cy1NWby';
nytimes;1272550092399160000;15.06.2020 15:22;b'Swedish political and business leaders are asking whether the country rushed too swiftly into an economic relationship with China, with the Volvo deal as a renewed source of controversy https://t.co/RikKU0fP3D';
nytimes;1272544412535580000;15.06.2020 15:00;b'The undermining of climate change science in the U.S. federal government \xe2\x80\x94 once orchestrated largely by Trump political appointees \xe2\x80\x94 is entering a new phase, driven increasingly by middle and lower managers trying to protect their jobs. https://t.co/Qv6CNhlczE';
nytimes;1272539371879770000;15.06.2020 14:40;b'It has been 2 and a half years since astronomers discovered a strange, cigar-shaped object speeding through the solar system. Today it is long gone, but astronomers are still wondering what it was. https://t.co/pLhh81FMc4';
nytimes;1272535337743640000;15.06.2020 14:24;b'Breaking News: In a landmark ruling, the Supreme Court found that a 1964 civil rights law protects L.G.B.T. workers from discrimination https://t.co/J3q08ULoeX';
nytimes;1272529345949590000;15.06.2020 14:00;b'Charter schools, which are publicly funded but privately run, are securing coronavirus relief meant for businesses even as they also benefit from public school aid https://t.co/Z85qTAy3JN';
nytimes;1272527835689880000;15.06.2020 13:54;b'\xe2\x80\x9cThe police are, in some respects, a border patrol, and they patrol the border between the 2 Americas.\xe2\x80\x9d Jon Stewart talks to David Marchese for @NYTmag. https://t.co/wo3SXSzsnd';
nytimes;1272524287367410000;15.06.2020 13:40;"b'In Opinion\n\n""How can we feed America if we\'re all getting sick?"" says Jerald Brooks, a worker at a Tyson Foods poultry plant. https://t.co/RfWKdyCplp'";
nytimes;1272522935929110000;15.06.2020 13:34;b'U.S. stocks tumbled by more than 2 percent as investors faced fears of new coronavirus outbreaks around the world https://t.co/gQ8mCNkfMW';
nytimes;1272519242404020000;15.06.2020 13:20;"b'""Slow down and let stillness reveal what is most important."" \n\nThere are thousands of abandoned hamlets in the U.S. Some people still live and vacation in them. https://t.co/DSp2kn5NHq'";
nytimes;1272514266810270000;15.06.2020 13:00;b'William Consovoy has argued against affirmative action at Harvard and abortion in Georgia. Now he has a leading role as Republicans push a new wave of voting measures across the U.S. https://t.co/0ydcDPMZEC';
nytimes;1272511691935400000;15.06.2020 12:50;b'Mary Trump, a niece of President Trump, will divulge a series of \xe2\x80\x9charrowing and salacious\xe2\x80\x9d stories about him in an upcoming book, according to a published report https://t.co/O6n4N6MdUr';
nytimes;1272509175986290000;15.06.2020 12:40;b'The position of police chief, once prestigious, might be the most precarious job in the U.S. right now. Chiefs who promise reform must find a way to satisfy local officials and a public that is increasingly critical of police tactics and behavior. https://t.co/VpTcb4OdSh';
nytimes;1272504147473030000;15.06.2020 12:20;"b""6 months into the pandemic, we take stock of where we are, and where we might be going. Listen to today's episode of The Daily. https://t.co/hGZQ67cffu""";
nytimes;1272499146398850000;15.06.2020 12:00;"b'The authorities in Beijing placed a swath of the city under lockdown and tested tens of thousands of people as they rushed to contain a new coronavirus outbreak.\n\nDisease experts said bursts of infections were likely to become part of China\'s ""new normal."" https://t.co/igDQqHYopY'";
nytimes;1272494089947290000;15.06.2020 11:40;"b""Amid skyrocketing coronavirus infections, Pakistan's medical workers are falling ill at alarming rates \xe2\x80\x94 and increasingly facing assault from angry, desperate families\nhttps://t.co/79abBqGqK3""";
nytimes;1272488131581930000;15.06.2020 11:16;b'An American fighter jet crashed on a routine training flight off the northeast coast of England, the United States Air Force said. A British search and rescue team was helping to search for the one pilot who was aboard. https://t.co/ne8gD8Qrj9';
nytimes;1272484036867490000;15.06.2020 11:00;b'\xe2\x80\x9cWe are really just trying to get more answers.\xe2\x80\x9d The families of Robert Fuller and Malcolm Harsch, 2 black men who were found hanged from trees in Southern California, are asking authorities to further investigate their deaths. https://t.co/YXDkPsSIYp';
nytimes;1272478979300220000;15.06.2020 10:40;b'As soccer clubs try to estimate the full scale of the damage of the coronavirus shutdown, this summer\xe2\x80\x99s deals could herald a transformation in the balance of power https://t.co/3xYCPycRvb';
nytimes;1272473949906090000;15.06.2020 10:20;b'Countries are struggling to contain outbreaks of measles, cholera and diphtheria as they race to resume vaccination programs paused by the coronavirus https://t.co/XbxjtUALax';
nytimes;1272468955156840000;15.06.2020 10:00;b'Boxers wearing surgical booties. Wristbands with bar codes. Meals served behind plexiglass. Our journalists took a look behind the scenes of boxing\xe2\x80\x99s comeback in Las Vegas. https://t.co/0Dt2wmc67o';
nytimes;1272463724633260000;15.06.2020 09:39;b'An adviser to the billionaire owner of the English Premier League club Manchester City has emerged as a key player in discussions to sell another team, Newcastle United, to a group led by Saudi Arabia\xe2\x80\x99s sovereign wealth fund https://t.co/4UBXQIFqsL';
nytimes;1272458855105130000;15.06.2020 09:20;"b""The slave trader Edward Colston's money built much of the British city of Bristol. When Black Lives Matter protesters tore down his statue there, it reopened a painful reckoning with Colston's and Bristol's racist past. https://t.co/YRXatKXRZi""";
nytimes;1272453835026540000;15.06.2020 09:00;b'News Analysis: 2 years after President Trump enthusiastically declared that \xe2\x80\x9cthere is no longer a Nuclear Threat from North Korea,\xe2\x80\x9d classified assessments and experts conclude that the North\xe2\x80\x99s nuclear arsenal is far larger than it was in 2018 https://t.co/uzNp2WFwbD';
nytimes;1272446899753220000;15.06.2020 08:32;b'A court in Moscow sentenced Paul Whelan, an American former Marine, to 16 years in a high-security prison on espionage charges. Whelan has publicly expressed his anger with his detention and insisted that he is innocent. https://t.co/lW6efeUItP';
nytimes;1272443747213630000;15.06.2020 08:20;b'A recent cyberattack that disrupted the operations of Honda may have been the first time criminals used sophisticated software previously known to be used by state agents https://t.co/AGMYfaB20c';
nytimes;1272438726501760000;15.06.2020 08:00;b'For many women in Europe seeking abortions, the virus added another obstacle in an already complicated and time-sensitive course. Closing borders made it harder for women in countries with strict abortion regulations to seek the procedure elsewhere. https://t.co/P4gzP3ZhqX';
nytimes;1272433676425590000;15.06.2020 07:40;b'As the coronavirus pandemic amplifies longstanding concerns over the world\xe2\x80\x99s economic dependence on China, many countries are trying to reduce their exposure to Beijing\xe2\x80\x99s brand of business https://t.co/gAejqKG930';
