Account;Tweet_Nr;Date_Time;Tweet;;;;;;;;
realDonaldTrump;1231397086551310000;23.02.2020 01:55;b'Just another Shifty Schiff leak. Isn\xe2\x80\x99t there a law about this stuff? https://t.co/JWE0oPhiw9';;;;;;;;
realDonaldTrump;1231372451893970000;23.02.2020 00:17;b'\xe2\x80\x9cThe Kremlin is reportedly backing Bernie Sanders bid to win the White House.\xe2\x80\x9d Jon Scott  @FoxNews  Why didn\xe2\x80\x99t somebody tell me this?';;;;;;;;
realDonaldTrump;1231366964611860000;22.02.2020 23:55;b'Looks like Crazy Bernie is doing well in the Great State of Nevada. Biden &amp;;;;;;;;
realDonaldTrump;1231345462793440000;22.02.2020 22:30;b'Look so forward to being with my great friends in INDIA! https://t.co/1jdk3AW6fG';;;;;;;;
realDonaldTrump;1231343206039720000;22.02.2020 22:21;"b'Wow great foresight! https://t.co/RDmjYT18wz'""";;;;;;;;
realDonaldTrump;1231302822785950000;22.02.2020 19:40;b'https://t.co/tOBcudSlcl';;;;;;;;
realDonaldTrump;1231236777744250000;22.02.2020 15:18;b'Democrats in the Great State of Nevada (Which because of the Economy Jobs the Military &amp;;;;;;;;
realDonaldTrump;1231221743647430000;22.02.2020 14:18;b'\xe2\x80\x9cAn investigation into NOTHING.\xe2\x80\x9d The wonderful @trish_regan on the Mueller Witch Hunt!';;;;;;;;
realDonaldTrump;1231070547607510000;22.02.2020 04:17;"b'Incredible people great Rally! https://t.co/3i6tgfqrRl'""";;;;;;;;
realDonaldTrump;1231065736807940000;22.02.2020 03:58;b'Good luck Angela! https://t.co/M4KVeGZsqo';;;;;;;;
realDonaldTrump;1231064642514030000;22.02.2020 03:54;"b'Simply put he choked! https://t.co/4GeJMvTO2j'""";;;;;;;;
realDonaldTrump;1231062039617060000;22.02.2020 03:43;"b'....The reason for this is that the Do Nothing Democrats using disinformation Hoax number 7 don\xe2\x80\x99t want Bernie Sanders to get the Democrat Nomination and they figure this would be very bad for his chances. It\xe2\x80\x99s all rigged again against Crazy Bernie Sanders!'""";;;;;;;;
realDonaldTrump;1231062038979410000;22.02.2020 03:43;b'MSDNC (Comcast Slime) @CNN and others of the Fake Media have now added Crazy Bernie to the list of Russian Sympathizers along with @TulsiGabbard &amp;;;;;;;;
realDonaldTrump;1230982069301320000;21.02.2020 22:26;b'Republicans are fighting for citizens from every background every community &amp;;;;;;;;
realDonaldTrump;1230979334237600000;21.02.2020 22:15;"b'THANK YOU Las Vegas Nevada! I was delighted to be back in a state I love with proud hardworking PATRIOTS. With your help this November we are going to defeat the Radical Socialist Democrats and we are going to win Nevada in a landslide! #KAG2020 \nhttps://t.co/tCxQIDICAH'""";;;;;;;;
realDonaldTrump;1230936104234120000;21.02.2020 19:23;b'ON MY WAY! #KAG2020\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\nhttps://t.co/oubu6tCG4m';;;;;;;;
realDonaldTrump;1230908583333590000;21.02.2020 17:34;"b'So @TeamCavuto has very bad ratings on @foxnews with his Fake guests like A.B.Stoddard and others that still haven\xe2\x80\x99t figured it all out. Will he get the same treatment as his friend Shepherd Smith who also suffered from the ratings drought?'""";;;;;;;;
realDonaldTrump;1230889667853070000;21.02.2020 16:19;b'@SenateGOP Highest Trump Poll Numbers EVER! Thank you!';;;;;;;;
realDonaldTrump;1230884976977040000;21.02.2020 16:00;b'Mitch and I have made great progress. Coming back fast! https://t.co/ksJRH2UzlE';;;;;;;;
realDonaldTrump;1230882784937260000;21.02.2020 15:51;b'Four great candidates are under consideration at DNI. Decision within next few weeks!';;;;;;;;
realDonaldTrump;1230881724445240000;21.02.2020 15:47;b'Great! https://t.co/eDf8ltInmH';;;;;;;;
realDonaldTrump;1230879049460760000;21.02.2020 15:36;"b'Another misinformation campaign is being launched by Democrats in Congress saying that Russia prefers me to any of the Do Nothing Democrat candidates who still have been unable to after two weeks count their votes in Iowa. Hoax number 7!'""";;;;;;;;
realDonaldTrump;1230875946334310000;21.02.2020 15:24;"b'IF OUR FORMALLY TARGETED FARMERS NEED ADDITIONAL AID UNTIL SUCH TIME AS THE TRADE DEALS WITH CHINA MEXICO CANADA AND OTHERS FULLY KICK IN THAT AID WILL BE PROVIDED BY THE FEDERAL GOVERNMENT PAID FOR OUT OF THE MASSIVE TARIFF MONEY COMING INTO THE USA!'""";;;;;;;;
realDonaldTrump;1230738935195680000;21.02.2020 06:20;b'\xe2\x80\x9cShe should never have been on that jury. Everything about this stinks.\xe2\x80\x9d @JudgeJeanine @seanhannity @FoxNews';;;;;;;;
realDonaldTrump;1230738031985840000;21.02.2020 06:16;"b'Great Rally In Colorado. Thank you will be back soon!'""";;;;;;;;
realDonaldTrump;1230701508083120000;21.02.2020 03:51;"b'Thank you to our great US Ambassador to Germany @RichardGrenell for stepping in to serve as acting DNI. I will be nominating a terrific candidate for the job very soon. Stay tuned!'""";;;;;;;;
realDonaldTrump;1230678480896930000;21.02.2020 02:19;"b'I was thrilled to be back in Colorado Springs tonight beneath the majestic peaks of the Rocky Mountains with thousands of terrific hardworking American Patriots. With your help this November we are going to defeat the Radical Socialist Dems and we are going to WIN Colorado! https://t.co/uagWRzFlBs'""";;;;;;;;
realDonaldTrump;1230637051520790000;20.02.2020 23:35;"b'Wow thank you \xe2\x80\x94 on my way!! https://t.co/iGs4UQKLfF'""";;;;;;;;
realDonaldTrump;1230636340141670000;20.02.2020 23:32;"b'Just arrived in Colorado see everyone soon! https://t.co/53jW6iKIjn'""";;;;;;;;
realDonaldTrump;1230611451431150000;20.02.2020 21:53;"b'Could somebody at @foxnews please explain to Trump hater A.B. Stoddard (zero talent!) and @TeamCavuto that I won every one of my debates from beginning to end. Check the polls taken immediately after the debates. The debates got me elected. Must be Fox Board Member Paul Ryan!'""";;;;;;;;
realDonaldTrump;1230600551131270000;20.02.2020 21:10;"b'It was my great honor to deliver the commencement address at the @LVMPD\xe2\x80\x99s Hope for Prisoners Graduation Ceremony today where we reaffirmed that America is a nation that believes in REDEMPTION! https://t.co/WwJ5eHjTzl'""";;;;;;;;
realDonaldTrump;1230558752966760000;20.02.2020 18:24;b'\xe2\x80\x9cThe real winner last night was Donald Trump.\xe2\x80\x9d Mini Mike Bloomberg. I agree!';;;;;;;;
realDonaldTrump;1230557232615440000;20.02.2020 18:18;b'\xe2\x80\x9cThe decision not to prosecute Andy McCabe is utterly inexplicable.\xe2\x80\x9d @Judgenap  @HARRISFAULKNER @FoxNews';;;;;;;;
realDonaldTrump;1230541046360100000;20.02.2020 17:13;"b'\xe2\x80\x9cI don\xe2\x80\x99t think there\xe2\x80\x99s any chance whatsoever of Senator Sanders defeating President Trump.\xe2\x80\x9d Mini Mike Bloomberg. Mini there\xe2\x80\x99s even less chance especially after watching your debate performance last night of you winning the Democrat nomination...But I hope you do!'""";;;;;;;;
realDonaldTrump;1230514772338060000;20.02.2020 15:29;"b'John Kerry and Senator Chris Murphy grossly violated the Logan Act with respect to Iran. If a Republican did what they did there would be very serious ramifications!'""";;;;;;;;
